Smileys & Emotion
face-smiling			
491	U+1F48F	💏	kiss
492	U+1F469 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468	👩‍❤️‍💋‍👨	kiss: woman, man
493	U+1F468 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468	👨‍❤️‍💋‍👨	kiss: man, man
494	U+1F469 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F469	👩‍❤️‍💋‍👩	kiss: woman, woman
495	U+1F491	💑	couple with heart
496	U+1F469 U+200D U+2764 U+FE0F U+200D U+1F468	👩‍❤️‍👨	couple with heart: woman, man
497	U+1F468 U+200D U+2764 U+FE0F U+200D U+1F468	👨‍❤️‍👨	couple with heart: man, man
498	U+1F469 U+200D U+2764 U+FE0F U+200D U+1F469	👩‍❤️‍👩	couple with heart: woman, woman
499	U+1F46A	👪	family
500	U+1F468 U+200D U+1F469 U+200D U+1F466	👨‍👩‍👦	family: man, woman, boy
501	U+1F468 U+200D U+1F469 U+200D U+1F467	👨‍👩‍👧	family: man, woman, girl
502	U+1F468 U+200D U+1F469 U+200D U+1F467 U+200D U+1F466	👨‍👩‍👧‍👦	family: man, woman, girl, boy
503	U+1F468 U+200D U+1F469 U+200D U+1F466 U+200D U+1F466	👨‍👩‍👦‍👦	family: man, woman, boy, boy
504	U+1F468 U+200D U+1F469 U+200D U+1F467 U+200D U+1F467	👨‍👩‍👧‍👧	family: man, woman, girl, girl
505	U+1F468 U+200D U+1F468 U+200D U+1F466	👨‍👨‍👦	family: man, man, boy
506	U+1F468 U+200D U+1F468 U+200D U+1F467	👨‍👨‍👧	family: man, man, girl
507	U+1F468 U+200D U+1F468 U+200D U+1F467 U+200D U+1F466	👨‍👨‍👧‍👦	family: man, man, girl, boy
508	U+1F468 U+200D U+1F468 U+200D U+1F466 U+200D U+1F466	👨‍👨‍👦‍👦	family: man, man, boy, boy
509	U+1F468 U+200D U+1F468 U+200D U+1F467 U+200D U+1F467	👨‍👨‍👧‍👧	family: man, man, girl, girl
510	U+1F469 U+200D U+1F469 U+200D U+1F466	👩‍👩‍👦	family: woman, woman, boy
511	U+1F469 U+200D U+1F469 U+200D U+1F467	👩‍👩‍👧	family: woman, woman, girl
